"admin","Admin"
"NUMERO_TORRES","Número de Torres"
"COPA_COZINHA","Copa Cozinha"
"WC_EMPREGADA","WC Empregada"
"BANHO_AUXILIAR","Banho Auxiliar"
"LOTE","Lote"
"DORMITORIO","Dormitório"
"AGUA_QUENTE","Água Quente"
"AREA_TOTAL","Area Total"
"DESPENSA","Despensa"
"MEZANINO","Mezanino"
"CACHOEIRA","Cachoeira"
"DEPENDENCIA","Dependência"
"N_ANDAR","Número Andar"
"SALA_ESTAR","Sala de Estar"
"QUIOSQUE","Quiosque"
"PORTARIA","Portaria"
"NUM_ENDERECO","Número do Endereço"
"BICICLETARIO","Bicicletario"
"VAGAS","Vagas"
"LIVING_LAVABO","Living Lavabo"
"VLR_CONDOMINIO","Valor do Condomínio"
"FINALIDADE","Finalidade"
"LIVING_HALL","Living Hall"
"ENTRADA","Entrada"
"SALAO_DE_FESTAS","Salão de Festas"
"PISCINA_COLETIVA","Piscina Coletiva"
"BANHEIRO_SOCIAL","Banheiro Social"
"EDICULA","Edícula"
"SAUNA_COL","Sauna Coletiva"
"PASTAGEM","Pastagem"
"DECK","Deck"
"COZINHA","Cozinha"
"CONSTRUTORA","Construtora"
"GARAGEM_TIPO","Garagem Tipo"
"ZELADOR","Zelador"
"PORTARIA_24HS","Portaria 24HS"
"MURADO","Murado"
"CERCA_ELETRICA","Cerca Elétrica"
"JARDIM","Jardim"
"SITUACAO","Situação"
"QUINTAL","Quintal"
"ELEVADOR_COM","Elevador Coletivo"
"PILOTIS","Pilotis"
"PISCINA_INFANTIL","Piscina Infantil"
"DATA_ENTREGA","Data de Entrega"
"TOPOGRAFIA","Topografia"
"AREA_PRIVATIVA","Área Privativa"
